year,stage,team_a,team_b,score_a,score_b,host
2022,GROUP,Germany,Japan,1,2,Qatar
2022,GROUP,Spain,Costa Rica,7,0,Qatar
2022,GROUP,Belgium,Canada,1,0,Qatar
2022,GROUP,Switzerland,Cameroon,1,0,Qatar
2022,GROUP,Uruguay,South Korea,0,0,Qatar
2022,GROUP,Portugal,Ghana,3,2,Qatar
2022,GROUP,Brazil,Serbia,2,0,Qatar
2022,R16,Netherlands,USA,3,1,Qatar
2022,R16,Argentina,Australia,2,1,Qatar
2022,R16,France,Poland,3,1,Qatar
2022,R16,England,Senegal,3,0,Qatar
2022,R16,Japan,Croatia,1,1,Qatar
2022,R16,Brazil,South Korea,4,1,Qatar
2022,R16,Morocco,Spain,0,0,Qatar
2022,R16,Portugal,Switzerland,6,1,Qatar
2022,QF,Croatia,Brazil,1,1,Qatar
2022,QF,Netherlands,Argentina,2,2,Qatar
2022,QF,Morocco,Portugal,1,0,Qatar
2022,QF,England,France,1,2,Qatar
2022,SF,Argentina,Croatia,3,0,Qatar
2022,SF,France,Morocco,2,0,Qatar
2022,3RD,Croatia,Morocco,2,1,Qatar
2022,FINAL,Argentina,France,3,3,Qatar
